TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,RFT
1,Well1,2396,2339.352479,98.33333333,61.1566,4.8709,,,2.4225,0.220645,W,I,2.131592,c1,NORMAL
2,Well1,2405.5,2348.842594,96.66666667,41.4605,3.4001,,,2.3553,0.259623,W,I,1.826904,c1,NORMAL
3,Well1,2414.5,2357.831398,96.66666667,48.0889,4.8935,,,2.4062,0.230475,W,I,2.283203,c1,NORMAL
4,Well1,2420.5,2363.823933,96.6343,51.8755,14.2538,,,2.3354,0.255957,W,I,1.978516,c1,NORMAL
5,Well1,2463,2406.251473,99.44444444,53.7886,8.1284,,,2.4324,0.168315,W,I,1.673096,c2,NORMAL
6,Well1,2536.5,2479.588564,101.6666667,43.339,7.7829,,,2.3333,0.235875,W,I,2.280518,c2,NORMAL
7,Well1,2563,2506.017355,101.6666667,39.9874,6.3718,,,2.3789,0.220789,W,I,2.279541,c2,NORMAL
8,Well1,2683,2625.541317,105,66.0797,14.7163,,,2.4562,0.204522,W,I,0.758301,c2,OTHER
9,Well1,2683.9,2626.436764,105,100.2915,12.7701,,,2.6233,0.248603,W,I,,c2,OTHER
10,Well1,2694,2636.485668,105,60.9747,9.9611,,,2.4431,0.173509,W,I,1.970459,c2,OTHER
11,Well2,2337.2,2177.570437,87.92,54.0128,2.8909,3.2164,4.8101,2.2974,0.22705,W,I,6.209473,b4,NORMAL
12,Well2,2374.8,2207.828382,92.34,53.7421,4.0692,4.481,5.9056,2.3179,0.23553,W,I,3.744385,b4,OTHER
14,Well2,2399.5,2227.325057,94.23,44.7551,2.5318,2.6355,3.4361,2.2565,0.25493,W,I,9.711914,b4,NORMAL
15,Well2,2466,2279.336933,96.3,45.7771,2.7585,3.0652,4.1357,2.3057,0.2253,W,I,7.7146,b4,NORMAL
24,Well2,2849.2,2580.365167,110.51,41.9898,21.4161,20.0956,22.8633,2.3759,0.12593,O,J,0.835205,c2,NORMAL
27,Well2,2882,2605.93827,111.55,50.7482,14.7702,15.7488,18.0355,2.3786,0.18844,O,J,1.421143,c2,NORMAL
29,Well2,2906.2,2624.741822,112.54,49.6539,27.9355,31.1693,19.4591,2.4439,0.12988,O?,J,0.355225,c2,NORMAL
30,Well3,2197,2000.768342,81.81,43.7298,2.6705,2.9265,3.9267,2.3096,0.24313,W,G,4.084229,b1,NORMAL
31,Well3,2228.8,2031.208471,84.62,54.3658,2.7354,2.9999,3.9132,2.3183,0.22709,W,I,7.441895,b3,NORMAL
32,Well3,2289.7,2089.542669,90.09,48.9367,3.1813,3.4096,4.2733,2.2943,0.22817,W,I,3.4486085,b4,NORMAL
33,Well3,2323.4,2121.860331,90.74,49.8353,3.0489,3.2864,4.0806,2.3012,0.2048,W,I,3.509277,b4,NORMAL
35,Well3,2370,2166.578108,91.88,58.3582,3.9532,4.315,5.1619,2.3602,0.19133,W,I,4.384277,b4,NORMAL
36,Well3,2394,2189.569545,93.21,30.6512,4.2653,4.4183,4.7244,2.34,0.15967,W,I,4.8895265,b4,NORMAL
38,Well3,2416.5,2211.090145,93.88,63.7505,36.7857,36.9901,36.3178,2.344,0.24748,O,I,0.728027,b4,NORMAL
40,Well3,2661.3,2441.001187,101.1,56.8703,9.0661,9.3546,10.0788,2.3733,0.2258,W,I,1.403809,c2,NORMAL
44,Well4,2525,2147.020706,90.09,56.4557,9.6421,10.0252,10.3359,2.3896,0.23451,O,M,0.643799,c1,NORMAL
46,Well4,2529,2150.413792,91.86,54.6012,9.7378,10.7184,10.6968,2.355,0.24375,O,M,0.902344,c1,NORMAL
47,Well4,2576.7,2191.019067,94.58,58.6339,15.5355,18.4688,20.2004,2.5174,0.11439,W,M,0.391113,c2,OTHER
48,Well4,2587.6,2200.313611,95.67,50.4218,3.9831,3.9026,4.4782,2.2788,0.25927,W,M,1.171387,c2,NORMAL
49,Well4,2591.1,2203.295671,95.99,51.8048,3.9781,3.9674,4.3469,2.2514,0.25504,W,M,1.429932,c2,NORMAL
52,Well4,2748.8,2338.0273,100.21,53.0699,5.1276,5.0175,5.2668,2.3194,0.23183,W,M,1.189697,c2,NORMAL
53,Well4,2776.6,2362.248896,100.59,46.0359,5.289,5.6768,6.1828,2.3669,0.23054,W,M,1.333252,c2,NORMAL
54,Well4,2802.4,2384.907457,101.07,50.474,6.6734,7.5892,9.7221,2.3237,0.23991,W,M,0.941895,c2,NORMAL
