TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,Mobility
14,Well2,2399.5,2227.325057,94.23,44.7551,2.5318,2.6355,3.4361,2.2565,0.25493,W,I,9.711914,b4,249.47
15,Well2,2466,2279.336933,96.3,45.7771,2.7585,3.0652,4.1357,2.3057,0.2253,W,I,7.7146,b4,209.71
20,Well2,2783.3,2528.831697,106.67,44.6048,61.4907,56.072,40.5391,2.3343,0.1925,O,J,3.217773,c1,63.87
21,Well2,2785.7,2530.706846,107.13,46.3183,68.531,53.6928,52.8867,2.3347,0.21244,O,J,3.217773,c1,24.2
22,Well2,2789.2,2533.441439,107.62,51.9686,26.9497,34.2738,31.1757,2.3823,0.19515,O,J,1.548828,c1,2.12
23,Well2,2799.1,2541.176429,108.54,49.5639,9.9794,11.5077,14.2415,2.4652,0.14628,O?,J,0.357178,c1,0.79
25,Well2,2864.5,2592.31786,110.79,49.3234,16.9986,18.0347,24.5085,2.3228,0.2047,O,J,0.949219,c2,35.55
27,Well2,2882,2605.93827,111.55,50.7482,14.7702,15.7488,18.0355,2.3786,0.18844,O,J,1.421143,c2,11.55
28,Well2,2901.2,2620.856075,111.75,51.4878,37.7457,35.887,25.8018,2.3706,0.18938,O?,J,0.710205,c2,6.7
29,Well2,2906.2,2624.741822,112.54,49.6539,27.9355,31.1693,19.4591,2.4439,0.12988,O?,J,0.355225,c2,12.21
31,Well3,2228.8,2031.208471,84.62,54.3658,2.7354,2.9999,3.9132,2.3183,0.22709,W,I,7.441895,b3,114.87
32,Well3,2289.7,2089.542669,90.09,48.9367,3.1813,3.4096,4.2733,2.2943,0.22817,W,I,3.4486085,b4,51.15
33,Well3,2323.4,2121.860331,90.74,49.8353,3.0489,3.2864,4.0806,2.3012,0.2048,W,I,3.509277,b4,92.32
35,Well3,2370,2166.578108,91.88,58.3582,3.9532,4.315,5.1619,2.3602,0.19133,W,I,4.384277,b4,57.68
37,Well3,2411.4,2206.217831,93.55,52.9346,79.5939,92.0173,103.6003,2.3015,0.21907,O,I,5.098389,b4,215.96
38,Well3,2416.5,2211.090145,93.88,63.7505,36.7857,36.9901,36.3178,2.344,0.24748,O,I,0.728027,b4,13.26
40,Well3,2661.3,2441.001187,101.1,56.8703,9.0661,9.3546,10.0788,2.3733,0.2258,W,I,1.403809,c2,26.8
41,Well3,2669.1,2448.188997,101.99,39.7627,7.9001,7.4186,7.634,2.2982,0.22764,W,I,1.963135,c2,146.45
43,Well4,2504.4,2129.599011,89.08,44.8586,4.18,4.1051,4.822,2.3104,0.26495,O?,M,2.191162,c1,37.66
45,Well4,2526.2,2148.038632,91.09,45.3295,16.7239,20.1895,21.3104,2.2538,0.29237,O,M,1.416992,c1,208.88
46,Well4,2529,2150.413792,91.86,54.6012,9.7378,10.7184,10.6968,2.355,0.24375,O,M,0.902344,c1,31.61
51,Well4,2646.1,2250.013356,97.61,45.6237,3.8392,3.8749,4.5826,2.293,0.2398,W,M,1.810059,c2,287.85
52,Well4,2748.8,2338.0273,100.21,53.0699,5.1276,5.0175,5.2668,2.3194,0.23183,W,M,1.189697,c2,395.46
54,Well4,2802.4,2384.907457,101.07,50.474,6.6734,7.5892,9.7221,2.3237,0.23991,W,M,0.941895,c2,42.29
58,Well5,2357.1,2250.100977,95.43,57.0266,13.8053,14.1075,15.1043,2.2459,0.26299,O,I,0.957275,b4,9.43
60,Well5,2370,2261.595653,96.48,53.8561,66.0593,79.9215,91.889,2.2798,0.20398,O,I,6.386963,b4,77.26
63,Well5,2645.5,2491.174359,104.79,41.8507,27.4514,32.0737,35.222,2.3444,0.16323,O,J,1.988525,c1,15.52
64,Well5,2696.4,2532.443798,103.88,48.9359,9.7692,10.0935,11.2738,2.2922,0.20664,W,J,1.341309,c2,89.12
65,Well5,2713.3,2546.016621,105.7,64.5066,10.4844,11.4027,13.8893,2.3734,0.19242,W,J,1.215332,c2,4.11
68,Well5,2776.2,2597.120007,109.9,49.0153,59.7376,59.157,62.3028,2.256,0.25781,O,J,0.75293,c2,23.82
70,Well5,2790,2608.494199,110.73,57.3388,18.6803,24.5784,22.593,2.4383,0.17092,O,J,0.378662,c2,7.58
72,Well5,2818,2631.841159,111.46,75.4632,23.7122,24.353,24.8288,2.4837,0.18166,O,J,0.255859,c2,0.75
74,Well6,2215.3,2031.135722,84.9,43.5114,4.0312,4.0048,4.6029,2.3257,0.22055,W,I,5.33374,b3,1.29
75,Well6,2224.3,2040.135364,94.52,55.5292,4.872,5.7236,6.4179,2.4284,0.13803,W,I,1.676392,b3,10.87
77,Well6,2274,2089.83345,90.68,52.8177,4.7611,4.9196,5.5266,2.3083,0.23773,W,I,4.26709,b4,5.87
78,Well6,2301.6,2117.43158,92.53,54.543,3.6166,3.9343,4.9343,2.3055,0.23933,W,I,3.504639,b4,12.14
79,Well6,2318,2133.829119,92.89,40.6762,2.4213,2.4983,2.9437,2.2588,0.2474,W,I,8.228271,b4,186.49
81,Well6,2344.3,2160.124164,93.97,46.192,3.3937,3.4297,3.7778,2.3202,0.19535,W,I,11.122559,b4,72.93
82,Well6,2367.8,2183.617785,94.77,46.8391,3.4052,3.5178,4.012,2.3425,0.19187,W,I,4.265869,b4,13.02
83,Well6,2378.2,2194.014073,95.1,69.2418,17.7181,18.1734,17.2841,2.4148,0.21034,O?,I,2.589844,b4,1.38
84,Well6,2386,2201.811289,95.35,50.4755,89.3251,95.8515,66.8156,2.277,0.22401,O,I,3.503418,b4,41.21
86,Well7,2403.3,2213.226254,90.92,51.4015,21.8879,25.5814,27.4931,2.3236,0.23565,O,I,2.397217,c1,6.49
90,Well7,2483,2279.838191,98.97,54.8657,28.3874,29.2288,28.0831,2.4074,0.23912,O,I,1.402344,c2,16.87
91,Well7,2510.6,2302.799373,100.31,53.2226,15.0437,16.3838,21.3754,2.4001,0.19078,O?,I,3.275635,c2,3.15
93,Well7,2514.9,2306.351957,101.27,48.4141,13.9839,16.4972,19.9961,2.4095,0.16415,O?,I,0.503174,c2,20.12
95,Well7,2535.6,2323.441427,102.7,62.9296,21.1762,23.4326,26.0662,2.5048,0.15649,O?,I,0.125244,c2,0.54
96,Well7,2618,2390.894335,103.8,62.5116,15.4252,14.7352,16.3782,2.3993,0.23095,O?,I,0.376221,c2,5.06
101,Well7,2843.6,2579.379672,110.97,37.8861,49.8321,40.6396,35.4889,2.3892,0.23708,O,N,0.677246,c3,7.78
102,Well8,2340.5,1930.872654,78.36,60.9415,3.4662,3.5169,3.7694,2.3603,0.27798,W,I,2.49585,b3,1.84
103,Well8,2359,1946.820203,81.06,45.3344,60.7524,45.9522,46.6716,2.1913,0.19457,O,I,3.548218,b4,146.26
104,Well8,2376,1961.473951,82.85,49.16,14.1575,18.0993,17.1143,2.2231,0.26451,O,I,1.70752,b4,109.53
105,Well8,2384.3,1968.628419,84.44,52.7734,19.0703,16.6861,16.2752,2.2554,0.22444,O,I,1.969971,b4,70.48
