,TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,RFT
0,1,1,2396.0,2339.352479,98.33333333,61.1566,4.8709,9999.0,9999.0,2.4225,0.22064499999999998,W,I,2.131592,c1,NORMAL
1,2,1,2405.5,2348.842594,96.66666667,41.4605,3.4001,9999.0,9999.0,2.3553,0.259623,W,I,1.826904,c1,NORMAL
2,3,1,2414.5,2357.8313980000003,96.66666667,48.0889,4.8935,9999.0,9999.0,2.4062,0.230475,W,I,2.283203,c1,NORMAL
3,4,1,2420.5,2363.8239329999997,96.6343,51.8755,14.2538,9999.0,9999.0,2.3354,0.255957,W,I,1.978516,c1,NORMAL
4,5,1,2463.0,2406.2514730000003,99.44444444,53.7886,8.1284,9999.0,9999.0,2.4324,0.16831500000000002,W,I,1.673096,c2,NORMAL
5,6,1,2536.5,2479.588564,101.66666670000001,43.339,7.7829,9999.0,9999.0,2.3333,0.235875,W,I,2.280518,c2,NORMAL
6,7,1,2563.0,2506.017355,101.66666670000001,39.9874,6.3718,9999.0,9999.0,2.3789,0.22078899999999999,W,I,2.279541,c2,NORMAL
7,8,1,2683.0,2625.541317,105.0,66.0797,14.7163,9999.0,9999.0,2.4562,0.204522,W,I,0.758301,c2,OTHER
8,9,1,2683.9,2626.436764,105.0,100.2915,12.7701,9999.0,9999.0,2.6233,0.24860300000000002,W,I,9999.0,c2,OTHER
9,10,1,2694.0,2636.485668,105.0,60.9747,9.9611,9999.0,9999.0,2.4431,0.173509,W,I,1.970459,c2,OTHER
10,11,2,2337.2,2177.5704370000003,87.92,54.0128,2.8909,3.2164,4.8101,2.2974,0.22705,W,I,6.209473,b4,NORMAL
11,12,2,2374.8,2207.828382,92.34,53.7421,4.0692,4.481,5.9056,2.3179,0.23553000000000002,W,I,3.744385,b4,OTHER
12,14,2,2399.5,2227.325057,94.23,44.7551,2.5318,2.6355,3.4361,2.2565,0.25493000000000005,W,I,9.711914,b4,NORMAL
13,15,2,2466.0,2279.336933,96.3,45.7771,2.7585,3.0652,4.1357,2.3057,0.2253,W,I,7.7146,b4,NORMAL
14,24,2,2849.2,2580.3651670000004,110.51,41.9898,21.4161,20.0956,22.8633,2.3759,0.12593,O,J,0.835205,c2,NORMAL
15,27,2,2882.0,2605.93827,111.55,50.7482,14.7702,15.7488,18.0355,2.3786,0.18844,O,J,1.421143,c2,NORMAL
16,29,2,2906.2,2624.741822,112.54,49.6539,27.9355,31.1693,19.4591,2.4439,0.12988,O?,J,0.355225,c2,NORMAL
17,30,3,2197.0,2000.768342,81.81,43.7298,2.6705,2.9265,3.9267,2.3096,0.24313,W,G,4.084229,b1,NORMAL
18,31,3,2228.8,2031.2084710000001,84.62,54.3658,2.7354,2.9999,3.9132,2.3183,0.22709000000000001,W,I,7.441895,b3,NORMAL
19,32,3,2289.7,2089.542669,90.09,48.9367,3.1813,3.4096,4.2733,2.2943,0.22816999999999998,W,I,3.4486084999999997,b4,NORMAL
20,33,3,2323.4,2121.860331,90.74,49.8353,3.0489,3.2864,4.0806,2.3012,0.2048,W,I,3.5092769999999995,b4,NORMAL
21,35,3,2370.0,2166.5781079999997,91.88,58.3582,3.9532,4.315,5.1619,2.3602,0.19133,W,I,4.384277,b4,NORMAL
22,36,3,2394.0,2189.569545,93.21,30.6512,4.2653,4.4183,4.7244,2.34,0.15967,W,I,4.8895265,b4,NORMAL
23,38,3,2416.5,2211.090145,93.88,63.7505,36.7857,36.9901,36.3178,2.344,0.24748,O,I,0.7280270000000001,b4,NORMAL
24,40,3,2661.3,2441.0011870000003,101.1,56.8703,9.0661,9.3546,10.0788,2.3733,0.2258,W,I,1.403809,c2,NORMAL
25,44,4,2525.0,2147.020706,90.09,56.4557,9.6421,10.0252,10.3359,2.3896,0.23451,O,M,0.643799,c1,NORMAL
26,46,4,2529.0,2150.4137920000003,91.86,54.6012,9.7378,10.7184,10.6968,2.355,0.24375,O,M,0.902344,c1,NORMAL
27,47,4,2576.7,2191.019067,94.58,58.6339,15.5355,18.4688,20.2004,2.5174,0.11439,W,M,0.391113,c2,OTHER
28,48,4,2587.6,2200.313611,95.67,50.4218,3.9831,3.9026,4.4782,2.2788,0.25927,W,M,1.1713870000000002,c2,NORMAL
